time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
2.009359	4	316.253	1767.294	2775.186	3667.883
2.015609	3	1772.011	2767.633	3627.581	--undefined--
2.021859	4	351.172	1780.189	2733.754	3599.239
2.028109	3	1725.759	2655.758	3498.829	--undefined--
2.034359	3	1734.291	2715.075	3451.851	--undefined--
2.040609	3	1742.154	2651.301	3372.141	--undefined--
2.046859	3	1691.012	2559.447	3412.868	--undefined--
2.053109	3	1690.790	2730.980	3435.882	--undefined--
2.059359	3	1658.779	2557.017	3418.327	--undefined--
2.065609	3	1631.353	2513.767	3595.801	--undefined--
2.071859	3	1583.252	2458.417	3665.001	--undefined--
2.078109	3	1511.928	2405.292	3621.705	--undefined--
2.084359	3	1652.740	2391.783	3359.529	--undefined--
2.090609	3	1646.774	2358.297	3291.617	--undefined--
2.096859	3	1282.324	2253.840	3366.338	--undefined--
2.103109	3	815.753	2173.649	3245.765	--undefined--
2.109359	3	865.358	2137.032	3443.888	--undefined--
2.115609	3	846.126	2149.214	3335.096	--undefined--
2.121859	3	874.121	1975.593	3220.281	--undefined--
2.128109	3	849.308	1880.864	3078.965	--undefined--
2.134359	3	611.307	1867.430	3073.091	--undefined--
2.140609	3	918.138	1886.158	3159.695	--undefined--
2.146859	4	849.050	1935.823	3210.839	4516.949
2.153109	4	857.106	1904.207	3148.470	4761.144
2.159359	3	1401.435	2500.579	3244.698	--undefined--
2.165609	3	1477.109	2330.161	3426.497	--undefined--
2.171859	3	1613.636	2608.920	3383.068	--undefined--
2.178109	3	1598.556	1942.506	3422.424	--undefined--
2.184359	3	1658.580	1877.891	3499.109	--undefined--
